OBJECTID,GEOID,B00001e1,B00001m1,B00002e1,B00002m1
1606,05000US30015,1656,-1,796,-1
1607,05000US30017,2008,-1,862,-1
1608,05000US30019,402,-1,219,-1
1609,05000US30021,1486,-1,617,-1
1610,05000US30023,994,-1,434,-1
1611,05000US30025,556,-1,272,-1
1612,05000US30027,1644,-1,802,-1
1613,05000US30029,7985,-1,3939,-1
1614,05000US30031,9172,-1,4036,-1
1615,05000US30033,383,-1,299,-1
1616,05000US30035,1514,-1,701,-1
1617,05000US30037,326,-1,190,-1
1618,05000US30039,701,-1,451,-1
1619,05000US30041,2327,-1,1006,-1
1620,05000US30043,1721,-1,753,-1
1621,05000US30045,690,-1,411,-1
1622,05000US30047,3805,-1,2114,-1
1623,05000US30049,5611,-1,2688,-1
1624,05000US30051,429,-1,222,-1
1625,05000US30053,1789,-1,1089,-1
1626,05000US30055,466,-1,258,-1
1627,05000US30057,1343,-1,985,-1
1628,05000US30059,465,-1,307,-1
1629,05000US30061,534,-1,372,-1
1630,05000US30063,8075,-1,3647,-1
1631,05000US30065,686,-1,372,-1
1632,05000US30067,1636,-1,989,-1
1633,05000US30069,159,-1,107,-1
1634,05000US30071,784,-1,421,-1
1635,05000US30073,1388,-1,626,-1
1636,05000US30075,397,-1,250,-1
1637,05000US30077,1354,-1,525,-1
1638,05000US30079,275,-1,144,-1
1639,05000US30081,3531,-1,1574,-1
1640,05000US30083,1445,-1,699,-1
1641,05000US30085,2030,-1,1008,-1
1642,05000US30087,1566,-1,746,-1
1643,05000US30089,1961,-1,1130,-1
1644,05000US30091,840,-1,466,-1
1645,05000US30093,3143,-1,1381,-1
1646,05000US30095,1633,-1,855,-1
1647,05000US30097,845,-1,462,-1
1648,05000US30099,1548,-1,718,-1
1649,05000US30101,881,-1,360,-1
1650,05000US30103,277,-1,160,-1
1651,05000US30105,1480,-1,822,-1
1652,05000US30107,379,-1,241,-1
1653,05000US30109,264,-1,135,-1
1654,05000US30111,13152,-1,5366,-1
1655,05000US37001,13030,-1,5479,-1
1656,05000US37003,2505,-1,1081,-1
1657,05000US37005,1064,-1,635,-1
1658,05000US37007,2363,-1,949,-1
1659,05000US37009,2242,-1,1238,-1
1660,05000US37011,2135,-1,1525,-1
1661,05000US37013,3990,-1,2068,-1
1662,05000US37015,1938,-1,961,-1
1663,05000US37017,2496,-1,1304,-1
1664,05000US37019,8573,-1,5977,-1
1665,05000US37021,16313,-1,7431,-1
1666,05000US37023,7310,-1,3184,-1
1667,05000US37025,11414,-1,4639,-1
1668,05000US37027,5699,-1,2630,-1
1669,05000US37029,790,-1,305,-1
1670,05000US37031,7128,-1,4639,-1
1671,05000US37033,2195,-1,947,-1
1672,05000US37035,10728,-1,4606,-1
1673,05000US37037,4131,-1,1832,-1
1674,05000US37039,2110,-1,1244,-1
1675,05000US37041,880,-1,397,-1
1676,05000US37043,674,-1,400,-1
1677,05000US37045,7915,-1,3507,-1
1678,05000US37047,5186,-1,2281,-1
1679,05000US37049,7198,-1,3005,-1
1680,05000US37051,25070,-1,10747,-1
1681,05000US37053,1762,-1,1097,-1
1682,05000US37055,2823,-1,2598,-1
1683,05000US37057,10406,-1,4520,-1
1684,05000US37059,2890,-1,1272,-1
1685,05000US37061,4406,-1,1907,-1
1686,05000US37063,17919,-1,7446,-1
1687,05000US37065,4495,-1,1961,-1
1688,05000US37067,27174,-1,11773,-1
1689,05000US37069,4229,-1,1772,-1
1690,05000US37071,16978,-1,7274,-1
1691,05000US37073,1100,-1,475,-1
1692,05000US37075,777,-1,561,-1
1693,05000US37077,4238,-1,1598,-1
1694,05000US37079,2092,-1,812,-1
1695,05000US37081,36190,-1,15384,-1
1696,05000US37083,4737,-1,2222,-1
1697,05000US37085,13747,-1,5746,-1
1698,05000US37087,4484,-1,2406,-1
1699,05000US37089,7214,-1,3588,-1
1700,05000US37091,4248,-1,2046,-1
1701,05000US37093,3033,-1,1203,-1
1702,05000US37095,297,-1,141,-1
1703,05000US37097,11804,-1,5031,-1
1704,05000US37099,3138,-1,1731,-1
1705,05000US37101,9927,-1,3998,-1
1706,05000US37103,1221,-1,596,-1
1707,05000US37105,4014,-1,1653,-1
1708,05000US37107,4045,-1,1872,-1
1709,05000US37109,5520,-1,2288,-1
1710,05000US37111,3127,-1,1440,-1
1711,05000US37113,2763,-1,1803,-1
1712,05000US37115,1847,-1,914,-1
1713,05000US37117,2194,-1,1094,-1
1714,05000US37119,63931,-1,27067,-1
1715,05000US37121,1331,-1,691,-1
1716,05000US37123,2612,-1,1284,-1
1717,05000US37125,6285,-1,3002,-1
1718,05000US37127,6932,-1,2985,-1
1719,05000US37129,13100,-1,6063,-1
1720,05000US37131,2257,-1,1196,-1
1721,05000US37133,12491,-1,4394,-1
1722,05000US37135,11217,-1,4266,-1
1723,05000US37137,1896,-1,1031,-1
1724,05000US37139,2945,-1,1194,-1
1725,05000US37141,3901,-1,2055,-1
1726,05000US37143,1149,-1,545,-1
1727,05000US37145,3339,-1,1509,-1
1728,05000US37147,10550,-1,4388,-1
1729,05000US37149,1764,-1,968,-1
1730,05000US37151,9966,-1,4271,-1
1731,05000US37153,3568,-1,1562,-1
1732,05000US37155,12513,-1,5358,-1
1733,05000US37157,7208,-1,3311,-1
1734,05000US37159,10354,-1,4328,-1
1735,05000US37161,4863,-1,2425,-1
1736,05000US37163,6755,-1,2997,-1
1737,05000US37165,3356,-1,1470,-1
1738,05000US37167,6107,-1,2572,-1
1739,05000US37169,3137,-1,1400,-1
1740,05000US37171,6592,-1,2941,-1
1741,05000US37173,1124,-1,662,-1
1742,05000US37175,2056,-1,1080,-1
1743,05000US37177,519,-1,234,-1
1744,05000US37179,14786,-1,5319,-1
1745,05000US37181,2904,-1,1353,-1
1746,05000US37183,60144,-1,23853,-1
1747,05000US37185,1938,-1,1076,-1
1748,05000US37187,927,-1,457,-1
1749,05000US37189,4596,-1,2680,-1
1750,05000US37191,9592,-1,4150,-1
1751,05000US37193,4664,-1,2087,-1
1752,05000US37195,6405,-1,2791,-1
1753,05000US37197,3185,-1,1464,-1
